
 frequency_dependence   1

 band_index     1    50
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  =  6
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 =  0 -1  0  1 -1  0  0  0  1
 mtrx03 = -1  1  0 -1  0  0  0  0  1
 mtrx04 = -1  1  0  0  1  0  0  0  1
 mtrx05 =  1  0  0  1 -1  0  0  0  1
 mtrx06 =  0 -1  0 -1  0  0  0  0  1

       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
   7  -44.006380  -44.006380  -41.303941   18.723982  -10.511560  -33.091519  -33.020196  -44.077703  -44.064916   -9.418884  -31.998843  -42.985027  -43.168133    0.820722
   8  -44.005829  -44.005829  -41.302969   18.724424  -10.513242  -33.091787  -33.021301  -44.076315  -44.063297   -9.420326  -31.998870  -42.983399  -43.172231    0.815310
   9  -44.004623  -44.004623  -41.303481   18.770793  -10.526310  -33.058998  -33.022653  -44.040968  -44.034310   -9.434715  -31.967402  -42.949372  -43.142678    0.816815
  10  -44.003814  -44.003814  -41.302897   18.768832  -10.525768  -33.059834  -33.023918  -44.039731  -44.033238   -9.434150  -31.968216  -42.948112  -43.138944    0.819237
  11  -43.983539  -43.983539  -41.290972   18.700231  -10.487640  -33.078381  -33.024535  -44.037384  -44.027276   -9.399778  -31.990518  -42.949522  -43.143624    0.812283
  12  -43.981219  -43.981219  -41.290516   18.726564  -10.498432  -33.062385  -33.027961  -44.015642  -44.009241   -9.411246  -31.975198  -42.928456  -43.124234    0.814035
  13  -35.356911  -35.356911  -34.884773   23.052136  -13.205832  -25.038469  -22.086247  -38.309132  -37.816909  -12.495736  -24.328373  -37.599036  -37.225207    0.833270
  14  -35.327041  -35.327041  -34.949358   22.895444  -13.275981  -25.329895  -22.112746  -38.544190  -38.106212  -12.563774  -24.617688  -37.831983  -37.490963    0.863861
  15  -35.265403  -35.265403  -34.882887   22.374065  -12.873061  -25.381883  -22.162385  -38.484900  -38.244322  -12.159331  -24.668153  -37.771170  -37.583926    0.925275
  16  -31.353367  -31.353367  -36.274310   24.209923  -13.586343  -25.650729  -22.750299  -34.253797  -33.752512  -12.887225  -24.951612  -33.554679  -33.174224    0.827169
  17  -31.316942  -31.316942  -36.337640   24.354214  -13.470535  -25.453960  -22.676632  -34.094270  -33.613117  -12.770307  -24.753732  -33.394042  -33.034199    0.826757
  18  -31.280944  -31.280944  -36.404579   24.349924  -13.484259  -25.538914  -22.717085  -34.102773  -33.871247  -12.780266  -24.834921  -33.398780  -33.225015    0.917952
  19   -9.448075   -9.448075  -25.029754   17.612167  -10.563091  -17.980678  -14.495111  -12.933642  -12.204370   -9.946861  -17.364448  -12.317412  -11.717072    0.790774
  20   -9.250329   -9.250329  -25.002757   17.723005  -10.606336  -17.886087  -14.424623  -12.711793  -11.981866   -9.994837  -17.274588  -12.100294  -11.499315    0.789128
  21   -8.702121   -8.702121  -27.119819   16.809351   -9.908498  -20.218966  -16.311711  -12.609376  -11.788271   -9.305165  -19.615633  -12.006043  -11.311728    0.789851
  22   -8.680475   -8.680475  -27.105527   16.800105   -9.938512  -20.243934  -16.321834  -12.602575  -11.803279   -9.336044  -19.641466  -12.000107  -11.323590    0.796207
  23   -2.670660   -2.670660  -20.725901   14.756874  -10.636025  -16.605052  -13.372423   -5.903289   -5.309267   -9.842486  -15.811514   -5.109750   -4.661547    0.816242
  24   -2.331931   -2.331931  -20.573821   14.370688  -10.121748  -16.324881  -12.967010   -5.689802   -5.073796   -9.368750  -15.571884   -4.936805   -4.458937    0.816549
  25   -1.743609   -1.743609  -21.386757   14.058933   -9.885845  -17.213668  -13.692986   -5.264291   -4.623709   -9.132232  -16.460055   -4.510677   -4.007214    0.818052
  26   -1.454184   -1.454184  -19.255798   13.257187   -9.658151  -15.656763  -12.396228   -4.714719   -4.138411   -8.940583  -14.939194   -3.997151   -3.547675    0.823247
  27   -1.249617   -1.249617  -21.050022   13.880412   -9.743045  -16.912656  -13.339722   -4.822550   -4.182642   -9.017170  -16.186780   -4.096675   -3.586770    0.820901
  28   -0.977072   -0.977072  -20.568281   13.849325  -10.049202  -16.768159  -13.519869   -4.225362   -3.644257   -9.236133  -15.955089   -3.412292   -2.976642    0.821105
  29   -0.611761   -0.611761  -19.904353   13.120635   -9.548910  -16.332629  -12.837630   -4.106761   -3.497450   -8.856290  -15.640008   -3.414140   -2.925579    0.825662
  30   -0.242578   -0.242578  -19.554566   13.320908   -9.863699  -16.097358  -12.854192   -3.485744   -2.922594   -9.075696  -15.309355   -2.697741   -2.271421    0.826358
  31    0.106545    0.106545  -21.628981   13.851507  -10.188458  -17.965932  -14.475369   -3.384018   -2.775461   -9.340890  -17.118364   -2.536449   -2.075661    0.825657
  32    0.327874    0.327874  -20.273997   12.933702   -9.447702  -16.787997  -13.151370   -3.308753   -2.692410   -8.734929  -16.075224   -2.595980   -2.100439    0.830518
  33    0.677889    0.677889  -20.234233   13.559589  -10.411160  -17.085804  -14.018995   -2.388920   -1.854306   -9.483379  -16.158023   -1.461139   -1.088258    0.825677
  34    1.171397    1.171397  -21.718127   14.025348  -10.785382  -18.478160  -15.033294   -2.273469   -1.685070   -9.853918  -17.546697   -1.342005   -0.912705    0.829196
  35    2.984629    2.984629  -19.211949   12.759604  -11.140435  -17.592780  -15.131892    0.523741    0.942998   -9.936902  -16.389247    1.727275    1.941488    0.829632
  36    3.602106    3.602106  -20.571587   13.346435  -11.582074  -18.807227  -16.184850    0.979729    1.434608  -10.338460  -17.563613    2.223343    2.462504    0.826540
  37    4.575439    4.575439  -10.963658    4.699746  -10.051818  -16.315729  -16.003208    4.262918    4.317299   -8.646231  -14.910142    5.668505    5.478301    0.825990
  38    5.278732    5.278732  -12.809301    7.296295  -12.569995  -18.083001  -17.609790    4.805521    4.890569  -11.101252  -16.614258    6.274264    6.095341    0.820274
  39    5.907205    5.907205  -11.123133    5.843037  -10.822340  -16.102435  -15.453933    5.258702    5.369116   -9.596462  -14.876558    6.484580    6.386276    0.829740
  40    6.285619    6.285619   -9.793179    4.854206  -10.196937  -15.135910  -14.647953    5.797662    5.880408   -8.957344  -13.896317    7.037255    6.909795    0.830423
  41    6.865181    6.865181  -12.313375    6.439400  -11.766765  -17.640741  -17.069803    6.294243    6.394702  -10.328935  -16.202910    7.732074    7.579541    0.824046
  42    6.963792    6.963792  -10.802392    4.406981  -10.168360  -16.563771  -16.300186    6.700207    6.746334   -8.706104  -15.101515    8.162463    7.952696    0.825001
  43    8.145035    8.145035  -12.552063    5.036518  -10.821626  -18.337171  -17.733853    7.541717    7.647928   -9.319920  -16.835465    9.043423    8.885265    0.823954
  44    8.244602    8.244602  -10.321181    4.606787  -10.999732  -16.714126  -16.605217    8.135693    8.154836   -9.447071  -15.161464    9.688354    9.434579    0.824226
  45    9.279054    9.279054   -5.884306    2.576687   -8.353127  -11.660746  -10.900406    8.518714    8.642248   -7.326272  -10.633891    9.545569    9.502267    0.837527
  46    9.970250    9.970250   -7.060052    3.465308   -9.372192  -12.966936  -12.355749    9.359062    9.460160   -8.143931  -11.738675   10.587324   10.485252    0.834588
  47   10.348167   10.348167   -7.148825    3.256721   -9.103239  -12.995343  -12.441622    9.794445    9.886061   -7.914328  -11.806432   10.983356   10.878260    0.834544
  48   10.457890   10.457890   -5.537540    2.386814   -8.232291  -11.383018  -10.723494    9.798366    9.903285   -7.176849  -10.327576   10.853808   10.790824    0.840917
  49   11.916688   11.916688   -3.790694    1.728179   -7.414375   -9.476891   -8.419356   10.859153   11.022416   -6.599042   -8.661557   11.674487   11.711878    0.845619
  50   13.167253   13.167253   -5.112419    2.236969   -8.266411  -11.141860  -10.389440   12.414833   12.532726   -7.138308  -10.013758   13.542935   13.484072    0.843316


================================================================================

    n = band index.
  Emf = "inner" mean-field energy eigenvalue used to construct Sigma(E),
        read from WFN_inner.
   Eo = "outer" mean-field energy eigenvalue where we center the evaluation
        frequency grid {E} of Sigma(E). Defaults to Emf, unless
        you use WFN_outer and eqp_outer.dat / scissors_outer.
  Vxc = exchange-correlation pot., calculated from VXC or read from vxc.dat.
  KIH = Kinetic energy + Ionic potential + Hartree, read from kih.dat.
    X = bare exchange.
   SX = screened exchange contrib. to Sigma(E) at energy E=Eo
   CH = Coulomb hole contrib. to Sigma(E) at energy E=Eo
  Cor = SX-X + CH = correlation portion of Sigma(E) at energy E=Eo.
  Sig = X + Cor = self energy, Sigma(E), at energy E=Eo.
 Eqp0 = on-shell QP energy = Emf - Vxc + Sig(Eo)
        Eqp0 is *not* the recommended quantity to use for QP properties.
 Eqp1 = off-shell solution to the linearized  Dyson`s equation
      = Eqp0 + (dSig/dE) / (1 - dSig/dE) * (Eqp0 - Eo),
        or a full linear interpolation if more freq. points where computed.
        Eqp1 is the recommended quantity to use for QP properties.
  Znk = quasiparticle renormalization factor

 Notes on the static remainder:
 - Unprimed values, such as Eqp0, are evaluated WITH the static remainder
 - Primed values, such as Eqp0`, are evaluated WITHOUT the static remainder

 Notes on the finite_difference_form from sigma.inp file:
   none    : -2 => dSig/dE = 0 (skip the expansion)
   backward: -1 => dSig/dE = (Sig(Eo) - Sig(Eo-dE)) / dE
   central :  0 => dSig/dE = (Sig(Eo+dE) - Sig(Eo-dE)) / (2*dE)
   forward :  1 => dSig/dE = (Sig(Eo+dE) - Sig(Eo)) / dE
   default :  2 => forward for diagonal and none for off-diagonal
   dE is finite_difference_spacing from Sigma.inp file.
   We are using the form #2 with dE = 1.000 eV.

 General notes:
 - All energies are reported here in eV.
 - Both Emf and Vxc contain the average pot. Vxc0, so Vxc0 doesn`t affect Sigma.
 - Eqp1 and Eqp0 are Eqs. (36-37) from Hybertsen & Louie PRB 34 5390.
 - We recommend you use Eqp1 for QP properties of materials.

================================================================================

